Time,L_T
2025/1/11 16:19:20,0.078050046
2025/1/11 16:19:21,0.07794425
2025/1/11 16:19:22,0.077928939
2025/1/11 16:19:23,0.077410402
2025/1/11 16:19:24,0.083901191
2025/1/11 16:19:25,0.090850802
2025/1/11 16:19:26,0.091491215
2025/1/11 16:19:27,0.091552609
2025/1/11 16:19:28,0.08881927
2025/1/11 16:19:30,0.08816807
2025/1/11 16:19:31,0.08835298
2025/1/11 16:19:32,0.088573028
2025/1/11 16:19:33,0.082889115
2025/1/11 16:19:34,0.080408452
2025/1/11 16:19:35,0.074830846
2025/1/11 16:19:36,0.073646281
2025/1/11 16:19:37,0.073272286
2025/1/11 16:19:38,0.06767387
2025/1/11 16:19:39,0.066922393
2025/1/11 16:19:40,0.067133213
2025/1/11 16:19:41,0.067340436
2025/1/11 16:19:42,0.064230883
2025/1/11 16:19:43,0.034001768
2025/1/11 16:19:44,0.039935981
2025/1/11 16:19:45,0.046112816169934234
2025/1/11 16:19:46,0.03284135
2025/1/11 16:19:47,0.031198914608602763
2025/1/11 16:19:48,0.031805023
2025/1/11 16:19:49,0.029784049432130495
2025/1/11 16:19:50,0.029090963
2025/1/11 16:19:51,0.029289566765308066
2025/1/11 16:19:52,0.029330777521658174
2025/1/11 16:19:53,0.027042632
2025/1/11 16:19:54,0.020008585329474915
2025/1/11 16:19:55,0.020810638375674245
2025/1/11 16:19:56,0.021085962948061383
2025/1/11 16:19:57,0.021196840665507644
2025/1/11 16:19:58,0.021296655
2025/1/11 16:19:59,0.021539000328079243
2025/1/11 16:20:00,0.021661079930387277
2025/1/11 16:20:01,0.020916512756979255
2025/1/11 16:20:02,0.017472165346409756
2025/1/11 16:20:03,0.020221192910406877
2025/1/11 16:20:04,0.020973202472067094
2025/1/11 16:20:05,0.023371530048482764
2025/1/11 16:20:06,0.028602812
2025/1/11 16:20:07,0.032096574390788245
2025/1/11 16:22:11,0.031644009585701426
2025/1/11 16:22:12,0.031924494
2025/1/11 16:22:13,0.032637827
2025/1/11 16:22:14,0.033381439
2025/1/11 16:22:15,0.038630446819389284
2025/1/11 16:22:18,0.025731997
2025/1/11 16:22:19,0.021774896
2025/1/11 16:22:20,0.021780746180888766
2025/1/11 16:22:21,0.021616466686993647
2025/1/11 16:22:22,0.010791060989959819
2025/1/11 16:22:23,0.017992899535917466
2025/1/11 16:22:24,0.018475726265729204
2025/1/11 16:22:25,0.018450252379101695
2025/1/11 16:22:26,0.018481862718439473
2025/1/11 16:22:27,0.018493589
2025/1/11 16:22:29,0.018457844371968957
2025/1/11 16:22:30,0.018559143
2025/1/11 16:22:31,0.018562136450655114
2025/1/11 16:22:32,0.018561077018061905
2025/1/11 16:22:33,0.018561564400702075
2025/1/11 16:22:34,0.018560879097346234
2025/1/11 16:22:35,0.018568419780503536
2025/1/11 16:22:36,0.018460404208804793
2025/1/11 16:22:37,0.018370253445011493
2025/1/11 16:22:38,0.018312558
2025/1/11 16:22:39,0.018263892
2025/1/11 16:22:40,0.018221436404879537
2025/1/11 16:22:41,0.018251038
2025/1/11 16:22:42,0.018262308553576023
2025/1/11 16:22:43,0.018336895418204158
2025/1/11 16:22:45,0.018322867195021963
2025/1/11 16:22:46,0.018330861684038673
2025/1/11 16:22:47,0.018319146674689108
2025/1/11 16:22:48,0.018319143747299076
2025/1/11 16:22:49,0.018303941
2025/1/11 16:22:50,0.018372657
2025/1/11 16:22:51,0.018478074449934063
2025/1/11 16:22:52,0.018568565121011016
2025/1/11 16:22:53,0.015682377024424543
2025/1/11 16:22:54,0.016982441771995777
2025/1/11 16:22:55,0.017002842148955793
2025/1/11 16:22:56,0.017052932806622827
2025/1/11 16:22:58,0.017240742
2025/1/11 16:23:00,0.017259771680713538
2025/1/11 16:23:01,0.017250793
2025/1/11 16:23:02,0.017276342952910806
2025/1/11 16:23:04,0.017279508
2025/1/11 16:23:06,0.016930953845148828
2025/1/11 16:23:09,0.017429788290997728
2025/1/11 16:23:10,0.017431001921083045
2025/1/11 16:23:12,0.017396998
2025/1/11 16:23:13,0.017289077059565578
2025/1/11 16:23:14,0.017345393429068306
2025/1/11 16:23:15,0.017352219
2025/1/11 16:23:17,0.01736555
2025/1/11 16:23:18,0.017286998665264324
2025/1/11 16:23:19,0.016654601488674814
2025/1/11 16:23:20,0.018618872873342518
2025/1/11 16:23:22,0.018553426728823357
2025/1/11 16:23:23,0.015489177
2025/1/11 16:23:25,0.016746044423644097
2025/1/11 16:23:29,0.016755821752784932
2025/1/11 16:23:30,0.016788688
2025/1/11 16:23:32,0.016951988604164026
2025/1/11 16:23:34,0.017211912266146268
2025/1/11 16:23:35,0.017286408
2025/1/11 16:23:36,0.017491893
2025/1/11 16:23:38,0.017508443
2025/1/11 16:23:39,0.017535522029023642
2025/1/11 16:23:41,0.017588228858728943
2025/1/11 16:23:42,0.017616788142962598
2025/1/11 16:23:43,0.017713054118279576
2025/1/11 16:23:44,0.017800378221483577
2025/1/11 16:23:46,0.017850301
2025/1/11 16:23:48,0.017970989031209417
2025/1/11 16:23:49,0.017994049455566003
2025/1/11 16:23:50,0.017993975
2025/1/11 16:23:51,0.018033736176934784
2025/1/11 16:23:53,0.018080997
2025/1/11 16:23:56,0.018136003231281467
2025/1/11 16:23:57,0.018145806
2025/1/11 16:23:58,0.018204994296471117
2025/1/11 16:23:59,0.018258421
2025/1/11 16:24:00,0.018373301747739657
2025/1/11 16:24:01,0.018497795819441148
2025/1/11 16:24:03,0.018553104727742742
2025/1/11 16:24:05,0.018684088729672716
2025/1/11 16:24:06,0.018770890597394452
2025/1/11 16:24:07,0.018813724696718676
2025/1/11 16:24:08,0.018864210746992367
2025/1/11 16:24:10,0.018904696208602207
2025/1/11 16:24:11,0.018939037
2025/1/11 16:24:12,0.018992433
2025/1/11 16:24:13,0.019022497676141132
2025/1/11 16:24:14,0.019081678
2025/1/11 16:24:15,0.019093632175078312
2025/1/11 16:24:16,0.019127263241612624
2025/1/11 16:24:18,0.019188457
2025/1/11 16:24:19,0.019225078
2025/1/11 16:24:20,0.019264203
2025/1/11 16:24:21,0.019280368
2025/1/11 16:24:22,0.019281411458674718
2025/1/11 16:24:23,0.019307455881927133
2025/1/11 16:24:24,0.019325135
2025/1/11 16:24:25,0.019419845167234346
2025/1/11 16:24:26,0.019426402
2025/1/11 16:24:31,0.018646916
2025/1/11 16:24:32,0.019386857
2025/1/11 16:24:33,0.018739516882357716
2025/1/11 16:24:34,0.022652690484904554
2025/1/11 16:24:35,0.018188146
2025/1/11 16:24:36,0.008522668
2025/1/11 16:24:37,0.008575708
2025/1/11 16:24:38,0.008520251
2025/1/11 16:24:39,0.008798909
2025/1/11 16:24:40,0.008813943
2025/1/11 16:24:41,0.008903407
2025/1/11 16:24:42,0.008939768
2025/1/11 16:24:43,0.008935157
2025/1/11 16:24:44,0.008990662
2025/1/11 16:24:45,0.004040397
2025/1/11 16:24:46,0.007753769
2025/1/11 16:24:47,0.007752672
2025/1/11 16:24:48,0.007726554
2025/1/11 16:24:49,0.00768477
2025/1/11 16:24:50,0.007863443
2025/1/11 16:24:51,0.007827681
2025/1/11 16:24:52,0.00556207
2025/1/11 16:24:53,0.008036958
2025/1/11 16:24:54,0.005386156
2025/1/11 16:24:55,0.007369933
2025/1/11 16:24:56,0.007377532
2025/1/11 16:24:57,0.007378456
2025/1/11 16:24:58,0.007302603
2025/1/11 16:24:59,0.007409788
2025/1/11 16:25:00,0.007390479
2025/1/11 16:25:01,0.00738455
2025/1/11 16:25:02,0.007390716
2025/1/11 16:25:03,0.007391871
2025/1/11 16:25:04,0.007392661
2025/1/11 16:25:05,0.007358363
2025/1/11 16:25:06,0.007430042
2025/1/11 16:25:07,0.007469461
2025/1/11 16:25:08,0.007460079
2025/1/11 16:25:09,0.007430283
